drug	InChiKey	synonyms	drugclass
Rabusertib	SYYBDNPGDKKJDU-ZDUSSCGKSA-N	LY2603618;IC-83;RABUSERTIB	targeted
NVP-RAF265	YABJJWZLRMPFSI-UHFFFAOYSA-N	RAF265;CHIR-265;NVP-RAF265;RAF-265	targeted
Sotrastaurin	OAVGBZOFDPFGPJ-UHFFFAOYSA-N	SOTRASTAURIN;NVP-AEB071;AEB071	targeted
ENMD-2076	BLQYVHBZHAISJM-CMDGGOBGSA-N	ENMD-2076	targeted
Bafetinib	ZOPBZHLJXQAQON-VWLOTQADSA-N	NS-187;BAFETINIB;INNO-406	targeted
PH-797804	KCAJXIDMCNPGHZ-UHFFFAOYSA-N	PH-797804	targeted
PD0325901	SUDAHWBOROXANE-SECBINFHSA-N	PD0325901;MIRDAMETINIB	targeted
Sapitinib	DFJSJLGUIXFDJP-UHFFFAOYSA-N	SAPITINIB;AZD-8931	targeted
Tesevatinib	HVXKQKFEHMGHSL-QDMKHBRRSA-N	TESEVATINIB;KD019;XL-647	targeted
Capmatinib	LIOLIMKSCNQPLV-UHFFFAOYSA-N	NVP-INC280;INC280;INCB-28060;CAPMATINIB	targeted
NVP-BGT226	BMMXYEBLEBULND-UHFFFAOYSA-N	NVP-BGT226;BGT226	targeted
Gedatolisib	DWZAEMINVBZMHQ-UHFFFAOYSA-N	GEDATOLISIB;PKI-587;PF-05212384	targeted
Golvatinib	UQRCJCNVNUFYDX-UHFFFAOYSA-N	E7050;GOLVATINIB	targeted
BMS-777607	VNBRGSXVFBYQNN-UHFFFAOYSA-N	BMS-777607;BMS 777607	targeted
TG100-115	UJIAQDJKSXQLIT-UHFFFAOYSA-N	TG100-115	targeted
CEP-32496	DKNUPRMJNUQNHR-UHFFFAOYSA-N	CEP-32496	targeted
Varlitinib	UWXSAYUXVSFDBQ-CYBMUJFWSA-N	ARRY-334543;VARLITINIB	targeted
Telatinib	QFCXANHHBCGMAS-UHFFFAOYSA-N	TELATINIB;BAY 57-9352	targeted
Silmitasertib	MUOKSQABCJCOPU-UHFFFAOYSA-N	SILMITASERTIB;CX-4945	targeted
Talmapimod	ZMELOYOKMZBMRB-DLBZAZTESA-N	TALMAPIMOD;SCIO-469	targeted
Tozasertib	GCIKSSRWRFVXBI-UHFFFAOYSA-N	MK-0457;TOZASERTIB;VX-680	targeted
Encorafenib	CMJCXYNUCSMDBY-ZDUSSCGKSA-N	NVP-LGX818;LGX818;ENCORAFENIB	targeted
Tanzisertib	IBGLGMOPHJQDJB-IHRRRGAJSA-N	CC-930;TANZISERTIB	targeted
UCN-01	PBCZSGKMGDDXIJ-HQCWYSJUSA-N	UCN-01;7-HYDROXYSTAUROSPORINE	targeted
Alpelisib	STUWGJZDJHPWGZ-LBPRGKRZSA-N	BYL719;NVP-BYL719;ALPELISIB	targeted
Baricitinib	XUZMWHLSFXCVMG-UHFFFAOYSA-N	BARICITINIB;OLUMIANT;LY3009104;INCB28050	targeted
GDC-0623	RFWVETIZUQEJEF-UHFFFAOYSA-N	GDC-0623	targeted
Motesanib	RAHBGWKEPAQNFF-UHFFFAOYSA-N	MOTESANIB;AMG-706	targeted
Buparlisib	CWHUFRVAEUJCEF-UHFFFAOYSA-N	NVP-BKM120;BKM120;BUPARLISIB	targeted
AT9283	LOLPPWBBNUVNQZ-UHFFFAOYSA-N	AT9283	targeted
OTS167	DKZYXHCYPUVGAF-JCNLHEQBSA-N	OTSSP167;OTS167	targeted
Entospletinib	XSMSNFMDVXXHGJ-UHFFFAOYSA-N	GS-9973;ENTOSPLETINIB	targeted
Copanlisib	PZBCKZWLPGJMAO-UHFFFAOYSA-N	COPANLISIB;BAY 80-6946	targeted
AZD1775	BKWJAKQVGHWELA-UHFFFAOYSA-N	AZD1775;MK1775	targeted
Alvocidib	BIIVYFLTOXDAOV-YVEFUNNKSA-N	FLAVOPIRIDOL;HMR-1275;ALVOCIDIB	targeted
VX-745	VEPKQEUBKLEPRA-UHFFFAOYSA-N	VX-745;NEFLAMAPIMOD	targeted
Ralimetinib	NARMJPIBAXVUIE-UHFFFAOYSA-N	RALIMETINIB;LY2228820;CP868569	targeted
BMS-754807	LQVXSNNAFNGRAH-QHCPKHFHSA-N	BMS-754807	targeted
Triciribine	HOGVTUZUJGHKPL-HTVVRFAVSA-N	NSC 154020;TRICIRIBINE;PENTAAZACENTOPTHYLENE;TRICYCLIC NUCLEOSIDE	targeted
KD025	GKHIVNAUVKXIIY-UHFFFAOYSA-N	SLX-2119;KD025	targeted
Uprosertib	AXTAPYRUEKNRBA-JTQLQIEISA-N	GSK2141795;UPROSERTIB	targeted
Filgotinib	RIJLVEAXPNLDTC-UHFFFAOYSA-N	GLPG0634;FILGOTINIB	targeted
Prexasertib	DOTGPNHGTYJDEP-UHFFFAOYSA-N	PREXASERTIB;LY2606368	targeted
Ulixertinib	KSERXGMCDHOLSS-LJQANCHMSA-N	VRT752271;BVD-523;ULIXERTINIB	targeted
Merestinib	QHADVLVFMKEIIP-UHFFFAOYSA-N	MERESTINIB;LY2801653	targeted
Afuresertib	AHDFWNJLFALBJP-JTQLQIEISA-N	NVP-ASB183;AFURESERTIB;ASB183;GSK2110183	targeted
Poziotinib	LPFWVDIFUFFKJU-UHFFFAOYSA-N	POZIOTINIB;NOV120101;HM-78136B	targeted
Spebrutinib	KXBDTLQSDKGAEB-UHFFFAOYSA-N	SPEBRUTINIB;AVL-292;CC-292	targeted
PF-06463922	IIXWYSCJSQVBQM-LLVKDONJSA-N	PF-06463922	targeted
Entrectinib	HAYYBYPASCDWEQ-UHFFFAOYSA-N	ENTRECTINIB;RXDX-101;NMS-E628	targeted
ABC294640	CAOTVXGYTWCKQE-UHFFFAOYSA-N	ABC294640	targeted
LY3023414	ACCFLVVUVBJNGT-AWEZNQCLSA-N	LY3023414	targeted
Glesatinib	YRCHYHRCBXNYNU-UHFFFAOYSA-N	GLESATINIB;MGDC-265	targeted
CC-223	UFKLYTOEMRFKAD-UHFFFAOYSA-N	CC-223	targeted
AMG319	KWRYMZHCQIOOEB-LBPRGKRZSA-N	AMG319	targeted
AZD3759	MXDSJQHFFDGFDK-CYBMUJFWSA-N	AZD3759	targeted
Olmutinib	FDMQDKQUTRLUBU-UHFFFAOYSA-N	OLMUTINIB;HM71224;BI 1482694	targeted
GSK2256098	BVAHPPKGOOJSPU-UHFFFAOYSA-N	GSK2256098	targeted
GDC-0853	WNEODWDFDXWOLU-QHCPKHFHSA-N	GDC-0853	targeted
Erdafitinib	OLAHOMJCDNXHFI-UHFFFAOYSA-N	JNJ-42756493;ERDAFITINIB	targeted
Larotrectinib	PXHANKVTFWSDSG-QLOBERJESA-N	LOXO-101;ARRY-470;LAROTRECTINIB	targeted
MLN1117	BLGWHBSBBJNKJO-UHFFFAOYSA-N	SERABELISIB;TAK-117;INK1117;MLN1117	targeted
AMG-337	DWHXUGDWKAIASB-CQSZACIVSA-N	AMG-337	targeted
PF06650833	JKDGKIBAOAFRPJ-ZBINZKHDSA-N	PF06650833;PF-06650833	targeted
Amcasertib	QDWKGEFGLQMDAM-JJIBRWJFSA-N	BBI503;AMCASERTIB	targeted
Selonsertib	YIDDLAAKOYYGJG-UHFFFAOYSA-N	SELONSERTIB;GS-4997	targeted
MLN-0128	KMGZJEWJXAGHOP-UHFFFAOYSA-N	INK128;MLN-0128;SAPANISERTIB;MLN-0128;TAK-228	targeted
GSK2636771	XTKLTGBKIDQGQL-UHFFFAOYSA-N	GSK2636771	targeted
BMS-911543	JCINBYQJBYJGDM-UHFFFAOYSA-N	BMS-911543	targeted
ASP3026	MGGBYMDAPCCKCT-UHFFFAOYSA-N	ASP3026	targeted
SGI-1776	MHXGEROHKGDZGO-UHFFFAOYSA-N	SGI-1776	targeted
TAK-901	WKDACQVEJIVHMZ-UHFFFAOYSA-N	TAK-901	targeted
PF-00477736	NDEXUOWTGYUVGA-LJQANCHMSA-N	PF-00477736	targeted
Tamatinib	NHHQJBCNYHBUSI-UHFFFAOYSA-N	R406;TAMATINIB	targeted
OSU-03012	YULUCECVQOCQFQ-UHFFFAOYSA-N	OSU-03012;AR-12	targeted
LY-2874455	GKJCVYLDJWTWQU-CXLRFSCWSA-N	LY-2874455;LY 2874455	targeted
GSK-1070916	QTBWCSQGBMPECM-UHFFFAOYSA-N	GSK-1070916	targeted
AZD-8186	LMJFJIDLEAWOQJ-CQSZACIVSA-N	AZD-8186	targeted
Mubritinib	ZTFBIUXIQYRUNT-MDWZMJQESA-N	MUBRITINIB;TAK-165	targeted
Tucatinib	QVMNYGOVNWWFKF-UHFFFAOYSA-N	ONT-380;TUCATINIB;ARRY-380	targeted
TAK-285	ZYQXEVJIFYIBHZ-UHFFFAOYSA-N	TAK-285	targeted
AZD-6482	IRTDIKMSKMREGO-OAHLLOKOSA-N	AZD-6482	targeted
MK-8776	GMIZZEXBPRLVIV-SECBINFHSA-N	SCH-900776;MK-8776	targeted
Lucitanib	CUDVHEFYRIWYQD-UHFFFAOYSA-N	E-3810;LUCITANIB;CO-3810;S 80881	targeted
Palomid-529	YEAHTLOYHVWAKW-UHFFFAOYSA-N	PALOMID-529;P529	targeted
PF-00562271	MZDKLVOWGIOKTN-UHFFFAOYSA-N	PF-00562271	targeted
AT7519	OVPNQJVDAFNBDN-UHFFFAOYSA-N	AT7519	targeted
NVP-AEW541	AECDBHGVIIRMOI-GRGXKFILSA-N	AEW541;NVP-AEW541	targeted
AZD-1080	BLTVBQXJFVRPFK-UHFFFAOYSA-N	AZ-11548415;AZD-1080	targeted
GSK-461364	ZHJGWYRLJUCMRT-QGZVFWFLSA-N	GSK-461364	targeted
AZD-5438	WJRRGYBTGDJBFX-UHFFFAOYSA-N	AZD-5438	targeted
GSK-690693	KGPGFQWBCSZGEL-ZDUSSCGKSA-N	GSK-690693	targeted
Bentamapimod	XCPPIJCBCWUBNT-UHFFFAOYSA-N	AS602801;BENTAMAPIMOD	targeted
AZD8055	KVLFRAWTRWDEDF-IRXDYDNUSA-N	AZD8055	targeted
NVP-BGJ398	QADPYRIHXKWUSV-UHFFFAOYSA-N	NVP-BGJ398;INFIGRATINIB;BGJ398	targeted
ZSTK474	HGVNLRPZOWWDKD-UHFFFAOYSA-N	ZSTK474	targeted
Bryostatin 1	MJQUEDHRCUIRLF-TVIXENOKSA-N	BRYOSTATIN 1;B705008K112	targeted
Tepotinib	AHYMHWXQRWRBKT-UHFFFAOYSA-N	TEPOTINIB;EMD1214063	targeted
AT13148	IIRWNGPLJQXWFJ-KRWDZBQOSA-N	AT13148	targeted
CEP-37440	BCSHRERPHLTPEE-UHFFFAOYSA-N	CEP-37440	targeted
BGB324	KXMZDGSRSGHMMK-VWLOTQADSA-N	R 428;BGB324	targeted
AZD1208	MCUJKPPARUPFJM-UWCCDQBKSA-N	AZD1208	targeted
PF-03758309	AYCPARAPKDAOEN-LJQANCHMSA-N	PF-03758309	targeted
Doramapimod	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	BIRB 796;DORAMAPIMOD	targeted
Omipalisib	CGBJSGAELGCMKE-UHFFFAOYSA-N	OMIPALISIB;GSK2126458	targeted
GDC-0994	RZUOCXOYPYGSKL-GOSISDBHSA-N	RG7842;RAVOXERTINIB;GDC-0994	targeted
Cerdulatinib	BGLPECHZZQDNCD-UHFFFAOYSA-N	PRT-062070;CERDULATINIB	targeted
VS-4718	IGUBBWJDMLCRIK-UHFFFAOYSA-N	VS-4718;PND-1186	targeted
TEW-7197	FJCDSQATIJKQKA-UHFFFAOYSA-N	EW-7197;TEW-7197	targeted
RO5126766	LMMJFBMMJUMSJS-UHFFFAOYSA-N	RO5126766;CH5126766	targeted
AZD6738	OHUHVTCQTUDPIJ-JYCIKRDWSA-N	AZD6738	targeted
NVP-ABL001	VOVZXURTCKPRDQ-CQSZACIVSA-N	ABL001;NVP-ABL001;ASCIMINIB	targeted
ONO-4059	SEJLPXCPMNSRAM-GOSISDBHSA-N	ONO-4059;TIRABRUTINIB;GS-4059	targeted
Sitravatinib	WLAVZAAODLTUSW-UHFFFAOYSA-N	SITRAVATINIB;MGDC-516	targeted
CC-115	GMYLVKUGJMYTFB-UHFFFAOYSA-N	CC-115	targeted
LY-2584702	FYXRSVDHGLUMHB-UHFFFAOYSA-N	LY-2584702	targeted
BGB-283	NGFFVZQXSRKHBM-FKBYEOEOSA-N	BGB-283	targeted
Altiratinib	GNNDEPIMDAZHRQ-UHFFFAOYSA-N	DCC-2071;ALTIRATINIB;DP5164	targeted
PIM-447	VRQXRVAKPDCRCI-ZNMIVQPWSA-N	PIM-447;PIM447;NVP-PIM447	targeted
GDC-0084	LGWACEZVCMBSKW-UHFFFAOYSA-N	GDC-0084;RG7666	targeted
LY3009120	HHCBMISMPSAZBF-UHFFFAOYSA-N	LY3009120;DP-4978	targeted
AZD0156	AOTRIQLYUAFVSC-UHFFFAOYSA-N	AZD0156	targeted
PF-04708671	FBLPQCAQRNSVHB-UHFFFAOYSA-N	PF-04708671	targeted
TGX-221	CPRAGQJXBLMUEL-UHFFFAOYSA-N	TGX-221	targeted
BX-912	DMMILYKXNCVKOJ-UHFFFAOYSA-N	BX-912	targeted
PS-1145	JZRMBDHPALEPDM-UHFFFAOYSA-N	PS-1145	targeted
PHA 408	ZLEZHGHFWIHCGU-UHFFFAOYSA-N	PHA 408	targeted
MK-8745	YCRFPWKUUNKNDN-UHFFFAOYSA-N	MK-8745	targeted
AZ191	ZYVXTMKTGDARKR-UHFFFAOYSA-N	AZ191	targeted
VE-821	DUIHHZKTCSNTGM-UHFFFAOYSA-N	VE-821	targeted
GSK-2334470	QLPHOXTXAKOFMU-WBVHZDCISA-N	GSK-2334470;GSK2334470	targeted
GSK650394	WVSBGSNVCDAMCF-UHFFFAOYSA-N	GSK650394	targeted
PF-4800567	AUMDBEHGJRZSOO-UHFFFAOYSA-N	PF-4800567	targeted
PF-670462	WUDBUIUHVNECTM-UHFFFAOYSA-N	PF-670462	targeted
GSK269962	YOVNFNXUCOWYSG-UHFFFAOYSA-N	GSK269962	targeted
SCH772984	HDAJDNHIBCDLQF-RUZDIDTESA-N	SCH772984	targeted
AZD7545	DTDZLJHKVNTQGZ-GOSISDBHSA-N	AZD7545	targeted
FRAX486	DHKFOIHIUYFSOF-UHFFFAOYSA-N	FRAX486	targeted
AMG-925	BBUVDDPUURMFOX-SAABIXHNSA-N	AMG-925	targeted
GNE-0877	ZPPUMAMZIMPJGP-UHFFFAOYSA-N	GNE-0877	targeted
GNE-7915	XCFLWTZSJYBCPF-UHFFFAOYSA-N	GNE-7915	targeted
GSK2656157	PRWSIEBRGXYXAJ-UHFFFAOYSA-N	GSK2656157	targeted
UNC2881	NPVXOWLPOFYACO-QSNACTPISA-N	UNC2881	targeted
A-419259	FDVSOQRNTAPCHB-UHFFFAOYSA-N	A-419259;RK-20449	targeted
CCT196969	KYYKGSDLXXKQCR-UHFFFAOYSA-N	CCT196969	targeted
OTS-964	YHPWOYBWUWSJDW-UQKRIMTDSA-N	OTS-964	targeted
THZ2	FONRCZUZCHXWBD-VGOFMYFVSA-N	THZ2	targeted
KU-60019	SCELLOWTHJGVIC-BGYRXZFFSA-N	KU-60019	targeted
DEL-22379	INQUULPXCZAKMS-XKZIYDEJSA-N	DEL-22379	targeted
NVP-BHG712	ZCCPLJOKGAACRT-UHFFFAOYSA-N	BHG712;NVP-BHG712	targeted
Senexin B	VNADJTWHOAMTLY-UHFFFAOYSA-N	SENEXIN B	targeted
Orteronel	OZPFIJIOIVJZMN-SFHVURJKSA-N	TAK-700;ORTERONEL	targeted
Aldoxorubicin	OBMJQRLIQQTJLR-USGQOSEYSA-N	ALDOXORUBICIN;INNO-206	chemo
Tasquinimod	ONDYALNGTUAJDX-UHFFFAOYSA-N	TASQUINIMOD;ABR-215050	targeted
Ridaforolimus	BUROJSBIWGDYCN-GAUTUEMISA-N	RIDAFOROLIMUS;AP 23573;DEFOROLIMUS;MK-8669	targeted
Epacadostat	FBKMWOJEPMPVTQ-UHFFFAOYSA-N	INCB024360;EPACADOSTAT	targeted
ODM-201	BLIJXOOIHRSQRB-PXYINDEMSA-N	ODM-201;BAY-1841788	targeted
Resatorvid	LEEIJTHMHDMWLJ-CQSZACIVSA-N	TAK-242;RESATORVID	targeted
ABT-751	URCVCIZFVQDVPM-UHFFFAOYSA-N	ABT-751	chemo
Indibulin	SOLIIYNRSAWTSQ-UHFFFAOYSA-N	D 24851;INDIBULIN	chemo
Apalutamide	HJBWBFZLDZWPHF-UHFFFAOYSA-N	APALUTAMIDE;ARN-509	targeted
Motolimod	QSPOQCXMGPDIHI-UHFFFAOYSA-N	VTX-2337;MOTOLIMOD	targeted
Resiquimod	BXNMTOQRYBFHNZ-UHFFFAOYSA-N	S28463;R-848;RESIQUIMOD	targeted
8-chloro-adenosine	MHDPPLULTMGBSI-UUOKFMHZSA-N	8-CHLORO-ADENOSINE	chemo
CC122	RSNPAKAFCAAMBH-UHFFFAOYSA-N	CC-122;CC122	targeted
Vesatolimod	VFOKSTCIRGDTBR-UHFFFAOYSA-N	GS-9620;VESATOLIMOD	targeted
VGX-1027	MUFJHYRCIHHATF-UHFFFAOYSA-N	VGX-1027	targeted
GDC-0919	YTRRAUACYORZLX-UHFFFAOYSA-N	NLG919;GDC-0919	targeted
Oprozomib	SWZXEVABPLUDIO-WSZYKNRRSA-N	ONX-0912;PR-047;OPROZOMIB	targeted
8-amino-adenosine	DVGWFQILDUEEGX-UUOKFMHZSA-N	8-AMINOADENOSINE;8-AMINO-ADENOSINE	chemo
4-hydroxytamoxifen	DODQJNMQWMSYGS-QPLCGJKRSA-N	4-HYDROXYTAMOXIFEN	targeted
Veliparib	JNAHVYVRKWKWKQ-UHFFFAOYSA-N	ABT-888;VELIPARIB	targeted
Niraparib	PCHKPVIQAHNQLW-UHFFFAOYSA-N	ZEJULA;MK-4827;NIRAPARIB	targeted
Tacedinaline	VAZAPHZUAVEOMC-UHFFFAOYSA-N	"ACETYLDINALINE;G?? 5549;PD 123654,;CI-994;TACEDINALINE"	targeted
Talazoparib	HWGQMRYQVZSGDQ-HZPDHXFCSA-N	TALAZOPARIB;BMN 673	targeted
Idasanutlin	TVTXCJFHQKSQQM-LJQIRTBHSA-N	RG7388;IDASANUTLIN	targeted
Tipifarnib	PLHJCIYEEKOWNM-HHHXNRCGSA-N	TIPIFARNIB;R115777;ZARNESTRA;IND 58359	targeted
Lonafarnib	DHMTURDWPRKSOA-RUZDIDTESA-N	SARASAR;LONAFARNIB;SCH66336	targeted
Sepantronium bromide	QBIYUDDJPRGKNJ-UHFFFAOYSA-M	SEPANTRONIUM BROMIDE;YM155	targeted
Entinostat	INVTYAOGFAGBOE-UHFFFAOYSA-N	SNDX-275;ENTINOSTAT;MS-275	targeted
Mocetinostat	HRNLUBSXIHFDHP-UHFFFAOYSA-N	MOCETINOSTAT;MGCD0103	targeted
Lomeguatrib	JUJPKFNFCWJBCX-UHFFFAOYSA-N	PATRIN 2;LOMEGUATRIB	targeted
Pracinostat	JHDKZFFAIZKUCU-ZRDIBKRKSA-N	PRACINOSTAT;SB-939	targeted
Birinapant	PKWRMUKBEYJEIX-DXXQBUJASA-N	BIRINAPANT;TL32711	targeted
Selinexor	DEVSOMFAQLZNKR-RJRFIUFISA-N	KPT-330;SELINEXOR	targeted
Tazemetostat	NSQSAUGJQHDYNO-UHFFFAOYSA-N	EPZ-6438;E7438;TAZEMETOSTAT	targeted
CUDC-907	JOWXJLIFIIOYMS-UHFFFAOYSA-N	CUDC-907	targeted
Resminostat	FECGNJPYVFEKOD-VMPITWQZSA-N	RESMINOSTAT;4SC 201	targeted
NVP-LCL161	UFPFGVNKHCLJJO-SSKFGXFMSA-N	NVP-LCL161;LCL161	targeted
AT 101	QBKSWRVVCFFDOT-UHFFFAOYSA-N	AT 101;R-(-)-GOSSYPOL	targeted
AMG-232	DRLCSJFKKILATL-YWCVFVGNSA-N	AMG-232	targeted
Abexinostat	MAUCONCHVWBMHK-UHFFFAOYSA-N	PCI-24781;ABEXINOSTAT	targeted
Givinostat	YALNUENQHAQXEA-UHFFFAOYSA-N	ITF2357;GIVINOSTAT	targeted
Enasidenib	DYLUUSLLRIQKOE-UHFFFAOYSA-N	AG-221;ENASIDENIB;IDHIFA;CC-90007	targeted
Ivosidenib	WIJZXSAJMHAVGX-DHLKQENFSA-N	AG-120;IVOSIDENIB	targeted
Roxadustat	YOZBGTLTNGAVFU-UHFFFAOYSA-N	ROXADUSTAT;FG-4592	targeted
Birabresib	GNMUEVRJHCWKTO-FQEVSTJZSA-N	MK-8628;OTX015;BIRABRESIB	targeted
Chidamide	WXHHICFWKXDFOW-BJMVGYQFSA-N	CS055;CHIAMIDE;HBI-8000;CHIDAMIDE;TUCIDINOSTAT	targeted
KPT-8602	JFBAVWVBLRIWHM-AWNIVKPZSA-N	KPT-8602;ELTANEXOR	targeted
Vidofludimus	XPRDUGXOWVXZLL-UHFFFAOYSA-N	SC12267;4SC-101;VIDOFLUDIMUS	targeted
AR-42	LAMIXXKAWNLXOC-INIZCTEOSA-N	AR-42;OSU-HDAC42	targeted
Rocilinostat	QGZYDVAGYRLSKP-UHFFFAOYSA-N	ROCILINOSTAT;ACY-1215	targeted
Pinometostat	LXFOLMYKSYSZQS-LURJZOHASA-N	EPZ-5676;PINOMETOSTAT	targeted
GSK525762	AAAQFGUYHFJNHI-SFHVURJKSA-N	GSK525762;I-BET762;MOLIBRESIB	targeted
BAY 87-2243	CDJNNOJINJAXPV-UHFFFAOYSA-N	BAY 87-2243	targeted
GSK2879552	LRULVYSBRWUVGR-FOIFJWKZSA-N	GSK2879552	targeted
Mivebresib	RDONXGFGWSSFMY-UHFFFAOYSA-N	MIVEBRESIB;ABBV-075	targeted
BAY-1436032	RNMAUIMMNAHKQR-QFBILLFUSA-N	BAY-1436032	targeted
XAV-939	KLGQSVMIPOVQAX-UHFFFAOYSA-N	XAV-939	targeted
Tubastatin A	GOVYBPLHWIEHEJ-UHFFFAOYSA-N	TUBASTATIN A	targeted
StemRegenin 1	BGFHMYJZJZLMHW-UHFFFAOYSA-N	STEMREGENIN 1;STEMREGENIN 1;SR1	targeted
I-BET151	VUVUVNZRUGEAHB-CYBMUJFWSA-N	GSK1210151A;I-BET151	targeted
EPZ-5687	ZOIBZSZLMJDVDQ-UHFFFAOYSA-N	EPZ-5687	targeted
C646	HEKJYZZSCQBJGB-UHFFFAOYSA-N	C646	targeted
IOX-2	CAOSCCRYLYQBES-UHFFFAOYSA-N	IOX-2	targeted
RGFP966	BLVQHYHDYFTPDV-VCABWLAWSA-N	RGFP966	targeted
SGC-CBP30	GEPYBHCJBORHCE-SFHVURJKSA-N	SGC-CBP30	targeted
IOX-1	JGRPKOGHYBAVMW-UHFFFAOYSA-N	IOX-1	targeted
SGC0946	IQCKJUKAQJINMK-HUBRGWSESA-N	SGC0946	targeted
GSK-J4	WBKCKEHGXNWYMO-UHFFFAOYSA-N	GSK-J4	targeted
UNC1215	PQOOIERVZAXHBP-UHFFFAOYSA-N	UNC1215	targeted
Tubacin	BHUZLJOUHMBZQY-YXQOSMAKSA-N	TUBACIN	targeted
UNC0638	QOECJCJVIMVJGX-UHFFFAOYSA-N	UNC0638	targeted
PCI-34051	AJRGHIGYPXNABY-UHFFFAOYSA-N	PCI-34051	targeted
PTC-209	XVOOCQSWCCRVDY-UHFFFAOYSA-N	PTC-209	targeted
EPZ015666	ZKXZLIFRWWKZRY-KRWDZBQOSA-N	EPZ015666	targeted
UM729	SIBCJMZHJZDUNK-UHFFFAOYSA-N	UM729	targeted
JQ1	DNVXATUJJDPFDM-KRWDZBQOSA-N	JQ1;(+)JQ1;SGCBD01(+)	targeted
dBET1	LKEGXJXRNBALBV-PMCHYTPCSA-N	DBET1	targeted
GSK2801	KHWCPNJRJCNVRI-UHFFFAOYSA-N	GSK2801	targeted
CPI-360	PFPSFENQCNMITC-MRXNPFEDSA-N	CPI-360	targeted
PFI-1	TXZPMHLMPKIUGK-UHFFFAOYSA-N	PFI-1	targeted
A-366	BKCDJTRMYWSXMC-UHFFFAOYSA-N	A-366	targeted
EPZ031686	OTEIUEJPHNOGBG-IHWFROFDSA-N	EPZ031686	targeted
ML390	SGNRHEDBLPGDDC-GOSISDBHSA-N	ML390	targeted
GSK343	ULNXAWLQFZMIHX-UHFFFAOYSA-N	GSK343	targeted
ARV-825	RWLOGRLTDKDANT-TYIYNAFKSA-N	ARV-825	targeted
Tarenflurbil	SYTBZMRGLBWNTM-SNVBAGLBSA-N	TARENFLURBIL;(R)-FLURBIPROFEN	targeted
Tosedostat	FWFGIHPGRQZWIW-SQNIBIBYSA-N	TOSEDOSTAT;CHR 2797	targeted
Cilengitide	AMLYAMJWYAIXIA-VWNVYAMZSA-N	EMD 121974;CILENGITIDE;NSC 707544	targeted
Ganetespib	RVAQIUULWULRNW-UHFFFAOYSA-N	STA-9090;GANETESPIB	targeted
Marimastat	OCSMOTCMPXTDND-OUAUKWLOSA-N	BB-2516;MARIMASTAT	targeted
Darapladib	WDPFJWLDPVQCAJ-UHFFFAOYSA-N	DARAPLADIB;SB-480848	targeted
Rigosertib	OWBFCJROIKNMGD-BQYQJAHWSA-M	RIGOSERTIB;ON-01910;ESTYBON;NOVONEX	targeted
Napabucasin	DPHUWDIXHNQOSY-UHFFFAOYSA-N	NAPABUCASIN;BBI-608	targeted
BIIB021	QULDDKSCVCJTPV-UHFFFAOYSA-N	BIIB021	targeted
Varespladib	BHLXTPHDSZUFHR-UHFFFAOYSA-N	VARESPLADIB;A-002;LY315920	targeted
CPI-613	ZYRLHJIMTROTBO-UHFFFAOYSA-N	CPI-613	targeted
AVN944	GYCPCOJTCINIFZ-OXJNMPFZSA-N	AVN944;VX-944	targeted
Luminespib	NDAZATDQFDPQBD-UHFFFAOYSA-N	LUMINESPIB;NVP-AUY922;AUY922	targeted
Daporinad	KPBNHDGDUADAGP-VAWYXSNFSA-N	DGB;APO866;FK-866;DAPORINAD	targeted
MK-0752	XCGJIFAKUZNNOR-QCKZDCLWSA-N	MK-0752	targeted
Filanesib	LLXISKGBWFTGEI-FQEVSTJZSA-N	FILANESIB;ARRY-520	targeted
Triapine	XMYKNCNAZKMVQN-NYYWCZLTSA-N	3-AP;TRIAPINE;OCX-191	targeted
SB 743921	PGXYIBJJCLWJST-MUUNZHRXSA-N	SB 743921	targeted
Onalespib	IFRGXKKQHBVPCQ-UHFFFAOYSA-N	ONALESPIB;AT-13387	targeted
Glasdegib	SFNSLLSYNZWZQG-VQIMIIECSA-N	PF-04449913;GLASDEGIB	targeted
TIC10	RSAQARAFWMUYLL-UHFFFAOYSA-N	ONC201;TIC10	targeted
Litronesib	YVAFBXLHPINSIK-QHCPKHFHSA-N	LITRONESIB;LY-2523355	targeted
Omaveloxolone	RJCWBNBKOKFWNY-IDPLTSGASA-N	RTA-408;OMAVELOXOLONE	targeted
VLX1570	SCKXBVLYWLLALY-CZCYGEDCSA-N	VLX1570	targeted
Taladegib	SZBGQDXLNMELTB-UHFFFAOYSA-N	TALADEGIB;LY2940680	targeted
Saridegib	HZLFFNCLTRVYJG-WWGOJCOQSA-N	IPI-926;SARIDEGIB	targeted
E7820	LWGUASZLXHYWIV-UHFFFAOYSA-N	E7820	targeted
APR-246	BGBNULCRKBVAKL-UHFFFAOYSA-N	APR-246;PRIMA-1 MET	targeted
Pevonedistat	MPUQHZXIXSTTDU-QGWWYQLQSA-N	PEVONEDISTAT;MLN4924;TAK-924	targeted
CUDC-305	RVJIQAYFTOPTKK-UHFFFAOYSA-N	CUDC-305;DEBIO-0932	targeted
URB597	ROFVXGGUISEHAM-UHFFFAOYSA-N	URB597	targeted
NVP-LGK974	XXYGTCZJJLTAGH-UHFFFAOYSA-N	NVP-LGK974;LGK974	targeted
